CandidateName,OType,Magnitude,RA,Dec,MajorAxis
NGC 147,Galaxy towards a Group of Galaxies,9.5,8.3005,48.508739,12.59
NGC 185,Seyfert 2 Galaxy,9.2,9.74141667751,48.33750996518,11.48
NGC 891,HII Galaxy,9.93,35.637112,42.348319,12.3
IC 10,Galaxy,9.5,5.10625,59.28806,8.0
Dra dSph,Galaxy,10.6,260.059728,57.921219,15.8
M102,Seyfert Galaxy,9.89,226.623171,55.763308,6.31
NGC 5585,Galaxy towards a Group of Galaxies,11.216,214.95085,56.72905,5.13
NGC 3642,LINER-type Active Galaxy Nucleus,14.04,170.57458768232,59.07452101151,5.01
NGC 3079,Seyfert 2 Galaxy,10.86,150.49116244333,55.67984715509,7.76
NGC 2841,LINER-type Active Galaxy Nucleus,9.22,140.51115779654,50.97659363413,8.13
NGC 3718,Seyfert 2 Galaxy,10.61,173.14523824612,53.0679222839,5.13
NGC 5195,Galaxy in Pair of Galaxies,9.55,202.498292,47.266128,5.89
M51,Seyfert 2 Galaxy,8.36,202.469575,47.195258,10.0
NGC 4157,Galaxy in Pair of Galaxies,11.35,182.768187,50.484681,6.76
NGC 3198,Emission-line galaxy,10.33,154.979125,45.549689,7.41
M106,Seyfert 2 Galaxy,8.41,184.740083,47.303719,17.78
NGC 1232,Emission-line galaxy,9.87,47.439642,-20.5793,6.61
NGC 1300,Seyfert 2 Galaxy,10.42,49.92102592497,-19.41116321262,6.17
NGC 1360,Planetary Nebula,11.16,53.31102855331,-25.87166045775,6.4
NGC 1744,Low Surface Brightness Galaxy,11.41,74.99057651795,-26.02217795549,6.03
M79,Globular Cluster,8.16,81.04413,-24.52425,8.7
M38,Open Cluster,6.4,82.167,35.824,19.6
NGC 1964,Seyfert 1 Galaxy,10.81,83.340288,-21.945473,5.5
M37,Open Cluster,5.6,88.074,32.545,19.3
NGC 2587,Open Cluster,9.2,125.861,-29.503,13.9
NGC 2613,Seyfert 2 Galaxy,10.42,128.345171,-22.973669,7.59
NGC 2627,Open Cluster,8.4,129.309,-29.952,10.4
NGC 2683,Active Galaxy Nucleus,9.79,133.17211034566,33.42183268931,8.71
NGC 613,Active Galaxy Nucleus,12.71,23.575979,-29.418489,5.5
M30,Globular Cluster,7.1,325.09217,-23.17986,11.0
NGC 908,Seyfert 1 Galaxy,10.18,35.769038,-21.23385,6.17
NGC 7184,Active Galaxy Nucleus Candidate,11.2,330.66595283018,-20.81270005756,6.31
NGC 24,Emission-line galaxy,11.58,2.485592,-24.963131,5.75
NGC 45,Seyfert 2 Galaxy,10.73,3.51669672029,-23.18198129078,7.24
NGC 7293,Planetary Nebula,13.524,337.41060585298,-20.83715201178,13.4
Wolf-Lundmark-Melotte,Galaxy,11.1,0.4913,-15.4639,11.5
Cetus Dwarf Galaxy,Galaxy,13.2,6.545,-11.0539,5.01
MCG-01-03-065,Low Surface Brightness Galaxy,12.17,15.391613,-7.588542,5.9
M2,Globular Cluster,6.25,323.36258,-0.82325,12.9
M77,Seyfert 2 Galaxy,8.87,40.66962152892,-0.01329435839,6.92
IC 1613,Galaxy towards a Cluster of Galaxies,10.01,16.2016962,2.1194959,16.2
