CandidateID,ObservationID,RMSE_RA,RMSE_Dec,RA,Dec,ApproachColor,AstrometryStatus,ExposureTime,EncoderRA,EncoderDec,SkyBackground,Temperature,Dataset,CaptureStartEpoch,Focus,RAOffset,DecOffset,SystemName,CameraName,ProcessingCode,Submitted
-3492514771145444681,1,0.4,0.47,211.1985,0.9622,RED,0,1.0,212.89095,-3.76601,-1.0,19229.0,C9CK882_1_20230614_211654_20230614_211721,1686802641,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-247841335743448065,2,0.63,1.06,197.958,-31.7559,RED,0,1.0,198.67795,-30.85366,-1.0,19229.0,C9CJ2Z2_2_20230614_213654_20230614_213722,1686803843,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3492514771145444681,3,0.4,0.47,211.1985,0.9622,RED,0,1.0,212.5308,-3.00666,-1.0,19229.0,C9CK882_2_20230614_214655_20230614_214719,1686804440,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-1391126443251608293,4,3.81,2.56,246.657,8.8618,ORANGE,0,1.0,271.09261,16.99001,-1.0,19229.0,C3R7HJ1_2_20230614_222437_20230614_222516,1686806717,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3832171067584810571,5,0.51,0.62,260.781,5.3157,GREEN,0,3.0,260.84504,5.31046,-1.0,19229.0,P21FZtq_1_20230614_224949_20230614_225007,1686808207,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-1391126443251608293,6,3.81,2.56,246.657,8.8618,ORANGE,0,1.0,271.03708,17.14653,-1.0,19229.0,C3R7HJ1_3_20230614_232649_20230614_232706,1686810427,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
6039074776772545890,7,90.39,21.64,280.8,22.6968,BLACK,0,1.0,274.307,23.58037,-1.0,19229.0,C3R7GH1_1_20230614_233643_20230614_233703,1686811023,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3832171067584810571,8,0.51,0.62,260.781,5.3157,GREEN,0,3.0,260.82316,5.31212,-1.0,19229.0,P21FZtq_2_20230614_235153_20230614_235211,1686811931,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-1391126443251608293,9,3.81,2.56,246.657,8.8618,ORANGE,0,1.0,270.93333,17.25889,-1.0,19229.0,C3R7HJ1_4_20230615_002648_20230615_002707,1686814027,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
6039074776772545890,10,90.39,21.64,280.8,22.6968,BLACK,0,1.0,274.39042,23.57496,-1.0,19229.0,C3R7GH1_2_20230615_003643_20230615_003722,1686814642,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
