CandidateName,CandidateType,Author,DateAdded,DateLastEdited,Priority,Updated,StartObservability,EndObservability,TransitTime,RejectedReason,RemovedReason,RemovedDt,RA,Dec,dRA,dDec,Magnitude,RMSE_RA,RMSE_Dec,ApproachColor,ExposureTime,NumExposures,Scheduled,Observed,Processed,Submitted,ID,Filter,Guide
C0J4E45,MPC NEO,MPCLogger,2023-09-20 21:47:16,2023-09-28 18:51:21,2,2023-09-25 16:19:12,2023-09-26 07:10:00,2023-09-26 14:40:00,2023-09-25 10:30:00,vMag,MPCLogger: Target removed from MPC list,2023-09-28 18:51:21,3.0028,12.0588,0.54,-0.06,24.5,20999.51,336.16,ORANGE,-1.0,-1.0,0,0,0,0,-9218214883685915942,CLEAR,1
3G96921,MPC NEO,MPCLogger,2023-07-12 21:31:47,2023-07-13 16:44:34,2,2023-07-12 16:04:48,,,2023-07-13 07:20:00,,MPCLogger: Target removed from MPC list,2023-07-13 16:44:34,18.9156,-52.3492,-0.9,-0.78,20.0,1.1,1.18,GREEN,600.0,1.0,0,0,0,0,-9208135407466563276,CLEAR,1
7N28001,MPC NEO,MPCLogger,2023-07-12 21:31:47,2023-07-14 08:36:50,2,2023-07-13 16:19:12,2023-07-14 07:00:00,2023-07-14 10:50:00,2023-07-14 06:50:00,,One-time duplicate removal,,18.4226,-2.8273,0.18,-0.6,18.5,190548.9,8639.13,BLACK,300.0,1.0,0,0,0,0,-9205125897851597540,CLEAR,1
P21Ghbg,MPC NEO,MPCLogger,2023-06-20 01:28:58,2023-07-18 22:41:03,2,2023-06-20 16:19:12,2023-06-21 06:00:00,2023-06-21 08:50:00,2023-06-21 09:50:00,,MPCLogger: Target removed from MPC list,2023-07-18 22:41:03,19.9566,-14.1409,0.54,0.9,21.5,1.32,1.27,GREEN,600.0,3.0,0,0,0,0,-9192295197591644129,CLEAR,1
P21G8y1,MPC NEO,MPCLogger,2023-06-21 02:34:55,2023-06-22 02:25:30,2,2023-06-20 16:48:00,2023-06-21 02:10:00,2023-06-21 09:40:00,2023-06-21 06:10:00,vMag,MPCLogger: Target removed from MPC list,2023-06-22 02:25:30,16.2074,13.7249,-0.96,0.3,21.9,8.11,7.25,GREEN,-1.0,-1.0,0,0,0,0,-9190540679582299493,CLEAR,1
gb00645,MPC NEO,MPCLogger,2023-10-20 04:12:17,2023-10-24 18:16:14,2,2023-10-20 03:50:24,2023-10-20 03:00:00,2023-10-20 07:20:00,2023-10-20 03:30:00,,MPCLogger: Target removed from MPC list,2023-10-24 18:16:14,21.5039,25.1457,-39,-16.2,19.4,0.8,0.82,ORANGE,300.0,1.0,0,0,0,0,-9187182677264892826,,1
P11M8vT,MPC NEO,MPCLogger,2023-10-20 04:12:18,2023-10-24 18:16:14,2,2023-10-19 16:19:12,2023-10-20 04:10:00,2023-10-20 11:40:00,2023-10-19 07:40:00,vMag,MPCLogger: Target removed from MPC list,2023-10-24 18:16:14,1.6511,27.8571,0,-2.16,21.8,1.02,6.34,GREEN,-1.0,-1.0,0,0,0,0,-9182952651980707669,,1
3H62421,MPC NEO,MPCLogger,2023-08-08 00:19:21,2023-08-29 18:23:30,2,2023-08-08 00:14:24,2023-08-09 01:40:00,2023-08-09 07:50:00,2023-08-08 04:00:00,Observability,MPCLogger: Target removed from MPC list,2023-08-29 18:23:30,17.1605,-16.2655,3.96,-4.32,19.6,0.92,1.41,GREEN,600.0,1.0,0,0,0,0,-9181280856086029805,CLEAR,1
P21I62v,MPC NEO,MPCLogger,2023-08-29 18:23:31,2023-09-16 05:30:28,2,2023-09-14 16:48:00,2023-09-14 03:00:00,2023-09-14 08:00:00,2023-09-15 04:50:00,vMag,MPCLogger: Target removed from MPC list,2023-09-16 05:30:28,20.4982,-32.4096,1.14,0.18,22.7,1308.1,112.66,GREEN,-1.0,-1.0,0,0,0,0,-9174227749030117629,CLEAR,1
A10VKeW,MPC NEO,MPCLogger,2023-06-24 00:34:32,2023-07-18 22:41:03,2,2023-06-24 06:14:24,2023-06-24 05:00:00,2023-06-24 11:00:00,2023-06-24 06:50:00,,MPCLogger: Target removed from MPC list,2023-07-18 22:41:03,17.1309,-3.698,6.6,12.6,19.2,0.52,0.47,ORANGE,300.0,1.0,0,0,0,0,-9162494265766252804,CLEAR,1
P21GIIi,MPC NEO,MPCLogger,2023-07-01 04:59:26,2023-07-19 01:28:05,2,2023-07-01 16:33:36,2023-07-03 08:10:00,2023-07-03 15:40:00,2023-07-03 11:40:00,vMag,MPCLogger: Target removed from MPC list,2023-07-19 01:28:05,22.5003,22.759,-0.06,0.24,21.9,4.48,4.12,GREEN,-1.0,-1.0,0,0,0,0,-9141152113816866266,CLEAR,1
C3WUYJ1,MPC NEO,MPCLogger,2023-10-16 22:13:25,2023-10-20 04:12:16,2,2023-10-16 09:07:12,2023-10-17 04:00:00,2023-10-17 11:30:00,2023-10-16 07:30:00,vMag,MPCLogger: Target removed from MPC list,2023-10-20 04:12:16,1.2634,0.436,-1.08,-0.6,21.7,0.43,0.24,ORANGE,-1.0,-1.0,0,0,0,0,-9138265221923232804,,1
C9K8K52,MPC NEO,MPCLogger,2023-09-25 23:00:15,2023-09-28 18:51:21,2,2023-09-25 11:02:24,2023-09-26 07:00:00,2023-09-26 14:30:00,2023-09-25 10:20:00,RMSE,MPCLogger: Target removed from MPC list,2023-09-28 18:51:21,2.8057,23.1347,-0.3,1.92,21.4,1387.79,707.24,RED,600.0,3.0,0,0,0,0,-9128260796116823651,,1
CA2EWT2,MPC NEO,MPCLogger,2023-12-17 21:40:46,2023-12-17 21:41:02,2,2023-12-17 09:07:12,2023-12-18 07:00:00,2023-12-18 14:30:00,2023-12-17 10:30:00,,,,8.4187,14.6296,-2.28,-6,21.3,1.0,2.76,ORANGE,600.0,3.0,0,0,0,0,-9127453681504763217,,1
