Date,MPC Target,Processed,Submitted,codes,Observability,"approx. transit time (@TMO, LOCAL)",RA,Dec,"RA Vel (""/min)","Dec Vel (""/min)",Vmag,~Error (arcsec),Error Color,Sky Brightness,SNR,Vel_Est,FWHM,Sky Mag,start,end
1216-1217,CA1CCJ2_1,,-1,"-3,",02:30 - 10:00,2023-12-16 6:00:00,3:47:17,18:32:56,3.24,-3.36,21.1,"(15.22, 21.29)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,CA1CCJ2_2,,-1,"-3,",02:30 - 10:00,2023-12-16 6:00:00,3:47:17,18:32:56,3.24,-3.36,21.1,"(15.22, 21.29)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJmL_1,astrom fail,-1,"-3,",02:20 - 09:40,2023-12-16 5:50:00,3:38:45,15:11:00,-16.2,4.74,19.7,"(5.44, 1.99)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJmL_2,astrom fail,-1,"-3,",02:20 - 09:40,2023-12-16 5:50:00,3:38:45,15:11:00,-16.2,4.74,19.7,"(5.44, 1.99)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,Sar2721_1,astrom fail,-1,"-2,",02:40 - 10:10,2023-12-16 6:10:00,3:56:18,10:41:28,0.66,-6.6,20.7,"(0.65, 0.77)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,Sar2721_2,astrom fail,-1,"-2,",02:40 - 10:10,2023-12-16 6:10:00,3:56:18,10:41:28,0.66,-6.6,20.7,"(0.65, 0.77)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,CA17RE2_1,,-1,"-8,",00:00 - 05:20,2023-12-17 1:20:00,23:08:42,20:35:52,-2.64,-7.2,21,"(1.8, 4.87)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,CA17RE2_2,,-1,"-8,",00:00 - 05:20,2023-12-17 1:20:00,23:08:42,20:35:52,-2.64,-7.2,21,"(1.8, 4.87)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21PM5j_1,check data,0,0,03:50 - 11:20,2023-12-16 7:20:00,5:06:42,2:00:41,0.72,-2.52,20.9,"(89.38, 71.33)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21PM5j_2,check data,0,0,03:50 - 11:20,2023-12-16 7:20:00,5:06:42,2:00:41,0.72,-2.52,20.9,"(89.38, 71.33)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJuE_1,,-1,"-2,",04:10 - 11:40,2023-12-16 7:30:00,5:26:07,10:54:08,4.08,10.8,20.5,"(0.24, 0.54)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJuE_2,,-1,"-2,",04:10 - 11:40,2023-12-16 7:30:00,5:26:07,10:54:08,4.08,10.8,20.5,"(0.24, 0.54)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,TF23L44_1,astrom fail,-1,"-5,",04:10 - 11:40,2023-12-16 7:30:00,5:24:02,14:03:53,10.2,-5.16,20.1,"(0.04, 0.02)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,TF23L44_2,astrom fail,-1,"-5,",04:10 - 11:40,2023-12-16 7:30:00,5:24:02,14:03:53,10.2,-5.16,20.1,"(0.04, 0.02)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21ORkZ_1,astrom fail,-1,"-2,",04:50 - 12:20,2023-12-16 8:20:00,6:08:51,45:30:19,-1.02,0.18,21.5,"(96.93, 67.76)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21ORkZ_2,astrom fail,-1,"-2,",04:50 - 12:20,2023-12-16 8:20:00,6:08:51,45:30:19,-1.02,0.18,21.5,"(96.93, 67.76)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,C42NTW1_1,,-1,"-8,",05:10 - 11:30,2023-12-16 7:20:00,5:13:43,-1:53:22,9.6,3.72,20,"(0.12, 0.06)",RED,,,,,,2023-12-16,2023-12-17
1216-1217,C42NTW1_2,,-1,"-8,",05:10 - 11:30,2023-12-16 7:20:00,5:13:43,-1:53:22,9.6,3.72,20,"(0.12, 0.06)",RED,,,,,,2023-12-16,2023-12-17
1216-1217,CA1QKN2_1,,-1,"-8,",05:30 - 13:00,2023-12-16 9:00:00,6:48:31,25:16:23,0.06,-1.44,21.3,"(0.96, 5.43)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,CA1QKN2_2,,-1,"-8,",05:30 - 13:00,2023-12-16 9:00:00,6:48:31,25:16:23,0.06,-1.44,21.3,"(0.96, 5.43)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P11PJpe_1,,-1,"-2,",05:50 - 12:10,2023-12-16 8:10:00,5:58:23,-5:11:54,-1.62,0.18,21.3,"(36.71, 16.43)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P11PJpe_2,,-1,"-2,",05:50 - 12:10,2023-12-16 8:10:00,5:58:23,-5:11:54,-1.62,0.18,21.3,"(36.71, 16.43)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJvP_1,,-1,"-2,",06:00 - 13:30,2023-12-16 9:30:00,7:20:23,30:01:25,-7.8,-5.76,21,"(62.72, 14.53)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJvP_2,,-1,"-2,",06:00 - 13:30,2023-12-16 9:30:00,7:20:23,30:01:25,-7.8,-5.76,21,"(62.72, 14.53)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,CA2EWT2_1,,-1,"-8,",07:10 - 14:40,2023-12-16 10:40:00,8:28:12,16:39:55,-2.52,-6.6,21.3,"(19.63, 85.55)",ORANGE,,,,,,2023-12-16,2023-12-17
