CandidateName,Processed,Submitted,Observability,TransitTime,RA,Dec,dRA,dDec,Magnitude,ApproachColor
M29,0,0,18:33 - 07:33,2024-06-03 11:30:00,20:23:46.32,38:29:13.2,0,0,6.599999904632568,PURPLE
M92,0,0,15:27 - 04:27,2024-06-03 08:20:00,17:17:07.3896,43:08:09.384,0,0,6.519999980926514,PURPLE
NGC 6705,0,0,19:01 - 03:01,2024-06-03 09:50:00,18:51:03.84,-6:16:19.2,0,0,5.800000190734863,PURPLE
M72,0,0,21:02 - 04:02,2024-06-03 12:00:00,20:53:27.7008,-12:32:14.316,0,0,8.960000038146973,PURPLE
NGC 925,0,0,01:36 - 13:36,2024-06-02 17:30:00,2:27:16.91304,33:34:43.9716,0,0,10.119999885559082,PURPLE
NGC 1407,0,0,03:49 - 10:49,2024-06-02 18:40:00,3:40:11.904,-18:34:49.3608,0,0,9.670000076293944,PURPLE
M110,0,0,22:49 - 11:49,2024-06-02 15:50:00,0:40:22.057235,41:41:07.50722014,0,0,8.069999694824219,PURPLE
NGC 404,0,0,23:18 - 12:18,2024-06-02 16:10:00,1:09:27.0216,35:43:05.268,0,0,11.729999542236328,PURPLE
NGC 7331,0,0,21:46 - 09:46,2024-06-03 13:40:00,22:37:04.05060381,34:24:56.80007651,0,0,9.479999542236328,PURPLE
NGC 784,0,0,01:10 - 12:10,2024-06-02 17:10:00,2:01:16.932,28:50:14.1288,0,0,12.06999969482422,PURPLE
NGC 383 Group,0,0,00:16 - 12:16,2024-06-02 16:10:00,1:07:27.696,32:23:58.92,0,0,14.100000381469728,PURPLE
IC 1727,0,0,00:56 - 11:56,2024-06-02 16:50:00,1:47:29.89008,27:20:00.06,0,0,11.979999542236328,PURPLE
NGC 672,0,0,00:57 - 11:57,2024-06-02 16:50:00,1:47:54.47647715,27:25:58.02070973,0,0,11.09000015258789,PURPLE
NGC 772,0,0,01:08 - 11:08,2024-06-02 17:00:00,1:59:19.5557149,19:00:27.47567722,0,0,10.3100004196167,PURPLE
NGC 3319,0,0,08:45 - 21:45,2024-06-03 01:40:00,10:39:09.53304,41:41:12.7392,0,0,11.06999969482422,PURPLE
Z 64-73,0,0,09:14 - 19:14,2024-06-03 01:10:00,10:08:28.1208,12:18:23.4,0,0,10.0,PURPLE
M95,0,0,09:50 - 19:50,2024-06-03 01:50:00,10:43:57.73134858,11:42:13.30119133,0,0,9.729999542236328,PURPLE
Z 126-111,0,0,10:19 - 20:19,2024-06-03 02:20:00,11:13:28.1304,22:09:10.116,0,0,12.0,PURPLE
HCG 58,0,0,10:48 - 20:48,2024-06-03 02:50:00,11:42:09.408,10:16:30,0,0,13.68000030517578,PURPLE
NGC 4216,0,0,11:22 - 21:22,2024-06-03 03:20:00,12:15:54.444,13:08:57.84,0,0,10.010000228881836,PURPLE
NGC 4725,0,0,11:56 - 22:56,2024-06-03 03:50:00,12:50:26.5716368,25:30:02.73309059,0,0,12.4399995803833,PURPLE
M53,0,0,12:19 - 22:19,2024-06-03 04:20:00,13:12:55.2504,18:10:05.412,0,0,7.789999961853027,PURPLE
