CandidateName,OType,Magnitude,RA,Dec,MajorAxis
NGC 1058,Seyfert 2 Galaxy,11.75,40.87511035427,37.34132856994,1.483
NGC  906,Radio Galaxy,12.88,36.31782596964,42.08990603326,1.037
UGC 1841,Seyfert 1 Galaxy,14.81,35.79754687188,42.99205148122,3.0
Andromeda VII,Galaxy towards a Group of Galaxies,11.8,351.6321,50.6758,2.51
NGC 1129,Brightest Galaxy in a Cluster (BCG),13.6,43.614167,41.579639,1.527
NGC 1161,Seyfert 1 Galaxy,12.08,45.30904822258,44.89740970008,2.8
NGC 1272,Galaxy towards a Group of Galaxies,13.66,49.83875,41.490592,1.2
3C 84,Seyfert 2 Galaxy,12.48,49.95066662585,41.51169690301,2.63
Cas A,SuperNova Remnant,14.3,350.85,58.815,5.0
PN Pa 5,Planetary Nebula,15.67,289.87709987547,44.76186250281,2.6
NGC 6703,Galaxy,11.34,281.82840277515,45.55063190717,1.407
NGC 6764,LINER-type Active Galaxy Nucleus,14.32,287.06834836112,50.93319999419,1.937
NGC 6702,Galaxy,13.05,281.73993133714,45.70564034505,1.133
UGC 3374,Seyfert 1 Galaxy,14.62,88.72336702532,46.43934023708,1.403
UGC 3445,Galaxy in Pair of Galaxies,12.41,95.38668684507,59.12668333956,2.29
UGC 3446,Galaxy in Pair of Galaxies,12.63,95.41308,59.12553,1.35
IC 2166,Galaxy,12.01,96.731788,59.080108,1.61
PN PuWe  1,Planetary Nebula,15.545,94.89142856127,55.61219653839,6.667
NGC 2208,Galaxy,12.61,95.644325,51.9096,1.243
IC 1231,Galaxy towards a Group of Galaxies,13.203,251.74598538932,58.42313315156,1.083
NGC 2344,Radio Galaxy,12.14,108.11946992302,47.16675079678,1.133
UGC 3683,Galaxy towards a Group of Galaxies,12.68,107.05821515356,46.11587426543,1.223
LEDA 2801026,Low Surface Brightness Galaxy,15.9,243.447932,54.368958,1.1
NGC 5985,Seyfert Galaxy,14.22,234.90439405924,59.33200469074,4.57
UGC 4133,Galaxy in Pair of Galaxies,14.17,120.03574129677,56.36559784964,1.37
M 102,Seyfert Galaxy,9.89,226.623171,55.763308,6.31
NGC 2685,Seyfert 2 Galaxy,12.7,133.89459492375,58.73441015003,4.47
UGC 4277,Active Galaxy Nucleus,13.53,123.488533,52.64795,3.39
NGC 2500,Low Surface Brightness Galaxy,11.62,120.47154883405,50.73711180105,1.017
NGC 5631,Seyfert 2 Galaxy,12.55,216.6387138868,56.58261796718,1.27
NGC 2552,Galaxy,12.56,124.83556475853,50.00960839013,3.5
NGC 2541,Galaxy towards a Group of Galaxies,11.8,123.66715028288,49.06167268887,4.17
NGC 5485,LINER-type Active Galaxy Nucleus,12.22,211.7973311708,55.00169006111,1.563
NGC 5585,Galaxy towards a Group of Galaxies,11.216,214.95085,56.72905,5.13
NGC 3642,LINER-type Active Galaxy Nucleus,14.04,170.57458768232,59.07452101151,5.01
NGC 3079,Seyfert 2 Galaxy,10.86,150.49116244333,55.67984715509,7.76
UGC 4879,Galaxy,13.2,139.00841496207,52.84501423817,2.0
UGC 4906,Seyfert 2 Galaxy,15.97,139.41636341887,52.99288856271,1.51
NGC 2693,Galaxy towards a Group of Galaxies,11.88,134.24692517401,51.34742728447,1.26
NGC 2681,LINER-type Active Galaxy Nucleus,10.29,133.38632627438,51.3136553367,2.117
NGC 2639,Seyfert 2 Galaxy,11.65,130.90861769543,50.20553946989,1.62
UGC 4551,Galaxy,12.46,131.02471195098,49.79385302805,1.327
IC 2233,Low Surface Brightness Galaxy,12.63,123.495454,45.74215,3.89
IC 1029,Galaxy towards a Group of Galaxies,12.65,218.11359849292,49.90462899187,1.94
NGC 5477,Galaxy,14.01,211.388824,54.460515,1.7
NGC 5474,Galaxy in Pair of Galaxies,10.79,211.2567,53.662208,4.68
Mrk 231,Seyfert 1 Galaxy,13.84,194.05930882622,56.87367732607,1.1
NGC 3958,LINER-type Active Galaxy Nucleus,13.17,178.64034461825,58.36705279827,1.13
NGC 5900,Galaxy in Pair of Galaxies,13.39,228.770904,42.209853,1.187
NGC 5899,Seyfert 2 Galaxy,13.21,228.76355,42.049853,2.087
NGC 3982,Seyfert 1 Galaxy,11.7,179.11726896503,55.12523877407,1.277
NGC 3998,Seyfert Galaxy,12.1,179.48388918517,55.45358956762,1.987
NGC 3738,Active Galaxy Nucleus,12.04,173.954091,54.523528,1.257
M 97,Planetary Nebula,15.777,168.69880122825,55.01902300891,3.333
