CandidateName,CandidateType,Magnitude,RA,Dec,CVal1,CVal2,StartObservability,EndObservability,RejectedReason
NGC 5068,Astrophotography,10.01,199.728363,-21.0391,7.24,Galaxy,2023-07-14 23:19:00,2023-07-15 05:39:00,
NGC  772,Astrophotography,10.31,29.83148214541,19.00763213256,6.03,Galaxy in Pair of Galaxies,2023-07-15 10:46:04,2023-07-15 18:16:04,
NGC 5061,Astrophotography,10.41,199.521058,-26.837222,2.0,Galaxy towards a Group of Galaxies,2023-07-14 23:18:00,2023-07-15 05:14:00,
NGC 5813,Astrophotography,10.46,225.29679267536,1.70198376936,4.17,LINER-type Active Galaxy Nucleus,2023-07-14 23:51:00,2023-07-15 07:21:00,
NGC 5101,Astrophotography,10.47,200.442675,-27.430519,5.62,Galaxy,2023-07-14 23:21:00,2023-07-15 05:17:00,
NGC  584,Astrophotography,10.48,22.83634663325,-6.86799174652,3.72,Galaxy in Pair of Galaxies,2023-07-15 11:28:04,2023-07-15 17:48:04,
NGC 4664,Astrophotography,10.5,191.27500560396,3.05576064494,2.203,Galaxy towards a Group of Galaxies,2023-07-14 21:35:00,2023-07-15 05:05:00,
NGC 5363,Astrophotography,10.51,209.030183,5.2547,2.72,Galaxy in Pair of Galaxies,2023-07-14 22:46:00,2023-07-15 06:16:00,
NGC 4656,Astrophotography,10.52,190.99037045407,32.17037386514,1.473,Galaxy in Pair of Galaxies,2023-07-14 21:34:00,2023-07-15 05:04:00,
NGC 1055,Astrophotography,10.59,40.438471,0.443181,6.17,Galaxy in Pair of Galaxies,2023-07-15 11:28:04,2023-07-15 18:58:04,
NGC  45,Astrophotography,10.73,3.51669672029,-23.18198129078,7.24,Low Surface Brightness Galaxy,2023-07-15 10:11:04,2023-07-15 16:25:04,
NGC 4618,Astrophotography,10.78,190.3870735298999,41.15088477098,1.573,Galaxy in Pair of Galaxies,2023-07-14 21:31:00,2023-07-15 05:01:00,
NGC 5474,Astrophotography,10.79,211.2567,53.662208,4.68,Galaxy in Pair of Galaxies,2023-07-14 23:55:00,2023-07-15 06:25:00,
NGC 7479,Astrophotography,10.85,346.23601343477,12.32287705195,2.47,Seyfert 2 Galaxy,2023-07-15 07:55:00,2023-07-15 15:25:00,
NGC 5701,Astrophotography,10.88,219.7961466316,5.36347030674,1.65,Galaxy towards a Group of Galaxies,2023-07-14 23:29:00,2023-07-15 06:59:00,
NGC 4651,Astrophotography,10.92,190.9276566960199,16.39333406925,2.11,LINER-type Active Galaxy Nucleus,2023-07-14 21:33:00,2023-07-15 05:03:00,
NGC  578,Astrophotography,10.93,22.61895,-22.667211,4.17,Galaxy,2023-07-15 11:27:04,2023-07-15 17:41:04,
NGC 5576,Astrophotography,10.96,215.265379,3.27105,1.827,Galaxy in Pair of Galaxies,2023-07-14 23:11:00,2023-07-15 06:41:00,
NGC 4772,Astrophotography,11.04,193.37151518688,2.16837398103,1.697,LINER-type Active Galaxy Nucleus,2023-07-14 21:43:00,2023-07-15 05:13:00,
NGC 4691,Astrophotography,11.08,192.05667,-3.33269,1.763,Active Galaxy Nucleus,2023-07-14 22:48:00,2023-07-15 05:08:00,
NGC  672,Astrophotography,11.09,26.97698532147,27.43278353048,6.17,Galaxy in Pair of Galaxies,2023-07-15 10:35:04,2023-07-15 18:05:04,
NGC 5085,Astrophotography,11.12,200.0746,-24.4403,3.72,Galaxy towards a Group of Galaxies,2023-07-14 23:20:00,2023-07-15 05:26:00,
NGC 4564,Astrophotography,11.12,189.11244563021,11.43922346468,1.917,Galaxy towards a Group of Galaxies,2023-07-14 21:26:00,2023-07-15 04:56:00,
