CandidateName,CandidateType,Magnitude,RA,Dec,CVal1,CVal2,Filter,Processed,Submitted,dRA,dDec,TransitTime
NGC 147,Astrophotography,9.5,8.3005,48.508739,12.59,Galaxy towards a Group of Galaxies,"g, r, i",0,0,0,0,2024-06-02 15:40:00
NGC 185,Astrophotography,9.199999809265137,9.74141667751,48.33750996518,11.48,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-02 15:40:00
NGC 891,Astrophotography,9.930000305175781,35.637112,42.348319,12.3,HII Galaxy,"g, r, i",0,0,0,0,2024-06-02 17:30:00
IC 10,Astrophotography,9.5,5.10625,59.28806,8.0,Galaxy,"g, r, i",0,0,0,0,2024-06-02 15:30:00
Dra dSph,Astrophotography,10.600000381469727,260.059728,57.921219,15.8,Galaxy,"g, r, i",0,0,0,0,2024-06-03 08:20:00
M102,Astrophotography,9.890000343322754,226.623171,55.763308,6.31,Seyfert Galaxy,"g, r, i",0,0,0,0,2024-06-03 06:10:00
NGC 5585,Astrophotography,11.215999603271484,214.95085,56.72905,5.13,Galaxy towards a Group of Galaxies,"g, r, i",0,0,0,0,2024-06-03 05:20:00
NGC 3642,Astrophotography,14.039999961853027,170.57458768232,59.07452101151,5.01,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 02:30:00
NGC 3079,Astrophotography,10.859999656677246,150.49116244333,55.67984715509,7.76,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 01:10:00
NGC 2841,Astrophotography,9.220000267028809,140.51115779654,50.97659363413,8.13,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 00:30:00
NGC 3718,Astrophotography,10.609999656677246,173.14523824612,53.0679222839,5.13,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 02:40:00
NGC 5195,Astrophotography,9.550000190734863,202.498292,47.266128,5.89,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 04:30:00
M51,Astrophotography,8.359999656677246,202.469575,47.195258,10.0,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 04:30:00
NGC 4157,Astrophotography,11.350000381469727,182.768187,50.484681,6.76,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 03:10:00
NGC 3198,Astrophotography,10.329999923706055,154.979125,45.549689,7.41,Emission-line galaxy,"g, r, i",0,0,0,0,2024-06-03 01:20:00
M106,Astrophotography,8.40999984741211,184.740083,47.303719,17.78,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:20:00
NGC 1232,Astrophotography,9.869999885559082,47.439642,-20.5793,6.61,Emission-line galaxy,"g, r, i",0,0,0,0,2024-06-02 18:10:00
NGC 1300,Astrophotography,10.420000076293945,49.92102592497,-19.41116321262,6.17,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-02 18:20:00
NGC 1360,Astrophotography,11.15999984741211,53.31102855331,-25.87166045775,6.4,Planetary Nebula,"g, r, i",0,0,0,0,2024-06-02 18:40:00
NGC 1744,Astrophotography,11.40999984741211,74.99057651795,-26.02217795549,6.03,Low Surface Brightness Galaxy,"g, r, i",0,0,0,0,2024-06-02 20:00:00
M79,Astrophotography,8.15999984741211,81.04413,-24.52425,8.7,Globular Cluster,"g, r, i",0,0,0,0,2024-06-02 20:30:00
